playerNum,roundNum,oppNum,result,oppRating
1,1,39,W,1436
2,1,63,W,1175
3,1,8,L,1641
4,1,23,W,1363
5,1,45,W,1242
6,1,34,W,1399
7,1,57,W,1092
8,1,3,W,1384
9,1,25,W,1745
10,1,16,D,1604
11,1,38,D,1423
12,1,42,W,1332
13,1,36,W,1355
14,1,54,W,1270
15,1,19,D,1564
16,1,10,D,1365
17,1,48,W,1382
18,1,47,W,1362
19,1,15,D,1220
20,1,40,L,1348
21,1,43,W,1283
22,1,64,W,1163
23,1,4,L,1716
24,1,28,L,1507
25,1,9,L,1411
26,1,49,W,1291
27,1,51,W,1011
28,1,24,W,1229
29,1,50,W,1056
30,1,52,L,935
31,1,58,L,917
32,1,61,W,955
33,1,60,W,967
34,1,6,L,1686
35,1,46,L,377
36,1,13,L,1666
37,1,NA,B,NA
38,1,11,D,1712
39,1,1,L,1794
40,1,20,W,1595
41,1,59,W,853
42,1,12,L,1663
43,1,21,L,1563
44,1,NA,B,NA
45,1,5,L,1655
46,1,35,W,1438
47,1,18,L,1600
48,1,17,L,1629
49,1,26,L,1579
50,1,29,L,1602
51,1,27,L,1552
52,1,30,W,1522
53,1,NA,H,NA
54,1,14,L,1610
55,1,62,L,1530
56,1,NA,H,NA
57,1,7,L,1649
58,1,31,W,1494
59,1,41,L,1403
60,1,33,L,1449
61,1,32,L,1441
62,1,55,W,1186
63,1,2,L,1553
64,1,22,L,1555
1,2,21,W,1563
2,2,58,W,917
3,2,61,W,955
4,2,28,D,1507
5,2,37,W,980
6,2,29,D,1602
7,2,46,W,377
8,2,32,W,1441
9,2,18,L,1600
10,2,19,L,1564
11,2,56,W,1153
12,2,33,W,1449
13,2,27,W,1552
14,2,44,W,1199
15,2,16,L,1604
16,2,15,W,1220
17,2,41,W,1403
18,2,9,W,1411
19,2,10,W,1365
20,2,49,W,1291
21,2,1,L,1794
22,2,52,D,935
23,2,43,W,1283
24,2,47,L,1362
25,2,53,W,1393
26,2,40,W,1348
27,2,13,L,1666
28,2,4,D,1716
29,2,6,D,1686
30,2,64,D,1163
31,2,55,D,1186
32,2,8,L,1641
33,2,12,L,1663
34,2,60,W,967
35,2,38,L,1423
36,2,57,W,1092
37,2,5,L,1655
38,2,35,W,1438
39,2,54,W,1270
40,2,26,L,1579
41,2,17,L,1629
42,2,50,L,1056
43,2,23,L,1363
44,2,14,L,1610
45,2,51,L,1011
46,2,7,L,1649
47,2,24,W,1229
48,2,63,W,1175
49,2,20,L,1595
50,2,42,W,1332
51,2,45,W,1242
52,2,22,D,1555
53,2,25,L,1745
54,2,39,L,1436
55,2,31,D,1494
56,2,11,L,1712
57,2,36,L,1355
58,2,2,L,1553
59,2,NA,B,NA
60,2,34,L,1399
61,2,3,L,1384
62,2,NA,U,NA
63,2,48,L,1382
64,2,30,D,1522
1,3,18,W,1600
2,3,4,L,1716
3,3,25,W,1745
4,3,2,W,1553
5,3,12,D,1663
6,3,11,L,1712
7,3,13,W,1666
8,3,14,L,1610
9,3,59,W,853
10,3,55,W,1186
11,3,6,W,1686
12,3,5,D,1655
13,3,7,L,1649
14,3,8,W,1641
15,3,30,W,1522
16,3,NA,H,NA
17,3,26,L,1579
18,3,1,L,1794
19,3,52,W,935
20,3,23,W,1363
21,3,47,W,1362
22,3,28,L,1507
23,3,20,L,1595
24,3,43,W,1283
25,3,3,L,1384
26,3,17,W,1629
27,3,46,W,377
28,3,22,W,1555
29,3,38,L,1423
30,3,15,L,1220
31,3,64,W,1163
32,3,44,W,1199
33,3,50,W,1056
34,3,37,L,980
35,3,56,W,1153
36,3,51,W,1011
37,3,34,W,1399
38,3,29,W,1602
39,3,40,W,1348
40,3,39,L,1436
41,3,58,W,917
42,3,57,L,1092
43,3,24,L,1229
44,3,32,L,1441
45,3,60,D,967
46,3,27,L,1552
47,3,21,L,1563
48,3,NA,H,NA
49,3,63,D,1175
50,3,33,L,1449
51,3,36,L,1355
52,3,19,L,1564
53,3,NA,H,NA
54,3,61,L,955
55,3,10,L,1365
56,3,35,L,1438
57,3,42,W,1332
58,3,41,L,1403
59,3,9,L,1411
60,3,45,D,1242
61,3,54,W,1270
62,3,NA,U,NA
63,3,49,D,1291
64,3,31,L,1494
1,4,14,W,1610
2,4,17,W,1629
3,4,21,W,1563
4,4,26,W,1579
5,4,13,D,1666
6,4,35,W,1438
7,4,11,W,1712
8,4,9,L,1411
9,4,8,W,1641
10,4,31,W,1494
11,4,7,L,1649
12,4,38,W,1423
13,4,5,D,1655
14,4,1,L,1794
15,4,22,L,1555
16,4,39,W,1436
17,4,2,L,1553
18,4,32,W,1441
19,4,28,D,1507
20,4,41,W,1403
21,4,3,L,1384
22,4,15,W,1220
23,4,58,W,917
24,4,25,L,1745
25,4,24,W,1229
26,4,4,L,1716
27,4,37,W,980
28,4,19,D,1564
29,4,34,L,1399
30,4,55,W,1186
31,4,10,L,1365
32,4,18,L,1600
33,4,36,D,1355
34,4,29,W,1602
35,4,6,L,1686
36,4,33,D,1449
37,4,27,L,1552
38,4,12,L,1663
39,4,16,L,1604
40,4,59,W,853
41,4,20,L,1595
42,4,60,D,967
43,4,63,W,1175
44,4,53,W,1393
45,4,56,L,1153
46,4,50,L,1056
47,4,61,W,955
48,4,52,D,935
49,4,64,D,1163
50,4,46,W,377
51,4,57,W,1092
52,4,48,D,1382
53,4,44,L,1199
54,4,NA,B,NA
55,4,30,L,1522
56,4,45,W,1242
57,4,51,L,1011
58,4,23,L,1363
59,4,40,L,1348
60,4,42,D,1332
61,4,47,L,1362
62,4,NA,U,NA
63,4,43,L,1283
64,4,49,D,1291
1,5,7,W,1649
2,5,16,W,1604
3,5,11,W,1712
4,5,5,D,1655
5,5,4,D,1716
6,5,10,D,1365
7,5,1,L,1794
8,5,47,W,1362
9,5,26,W,1579
10,5,6,D,1686
11,5,3,L,1384
12,5,NA,H,NA
13,5,33,W,1449
14,5,27,D,1552
15,5,54,W,1270
16,5,2,L,1553
17,5,23,W,1363
18,5,19,L,1564
19,5,18,W,1600
20,5,28,W,1507
21,5,40,W,1348
22,5,NA,H,NA
23,5,17,L,1629
24,5,60,W,967
25,5,34,D,1399
26,5,9,L,1411
27,5,14,D,1610
28,5,20,L,1595
29,5,52,W,935
30,5,31,L,1494
31,5,30,W,1522
32,5,51,W,1011
33,5,13,L,1666
34,5,25,D,1745
35,5,57,W,1092
36,5,NA,H,NA
37,5,NA,H,NA
38,5,NA,H,NA
39,5,44,W,1199
40,5,21,L,1563
41,5,NA,X,NA
42,5,61,D,955
43,5,59,W,853
44,5,39,L,1436
45,5,63,W,1175
46,5,64,W,1163
47,5,8,L,1641
48,5,NA,H,NA
49,5,58,W,917
50,5,NA,H,NA
51,5,32,L,1441
52,5,29,L,1602
53,5,NA,U,NA
54,5,15,L,1220
55,5,NA,B,NA
56,5,NA,H,NA
57,5,35,L,1438
58,5,49,L,1291
59,5,43,L,1283
60,5,24,L,1229
61,5,42,D,1332
62,5,NA,U,NA
63,5,45,L,1242
64,5,46,L,377
1,6,12,D,1663
2,6,20,W,1595
3,6,13,W,1666
4,6,19,W,1564
5,6,14,W,1610
6,6,27,W,1552
7,6,9,W,1411
8,6,28,W,1507
9,6,7,L,1649
10,6,25,W,1745
11,6,34,W,1399
12,6,1,D,1794
13,6,3,L,1384
14,6,5,L,1655
15,6,33,W,1449
16,6,36,W,1355
17,6,22,W,1555
18,6,38,W,1423
19,6,4,L,1716
20,6,2,L,1553
21,6,39,W,1436
22,6,17,L,1629
23,6,37,W,980
24,6,44,W,1199
25,6,10,L,1365
26,6,32,D,1441
27,6,6,L,1686
28,6,8,L,1641
29,6,48,W,1382
30,6,61,W,955
31,6,50,W,1056
32,6,26,D,1579
33,6,15,L,1220
34,6,11,L,1712
35,6,52,D,935
36,6,16,L,1604
37,6,23,L,1363
38,6,18,L,1600
39,6,21,L,1563
40,6,56,W,1153
41,6,NA,U,NA
42,6,64,W,1163
43,6,46,L,377
44,6,24,L,1229
45,6,55,D,1186
46,6,43,W,1283
47,6,51,D,1011
48,6,29,L,1602
49,6,NA,H,NA
50,6,31,L,1494
51,6,47,D,1362
52,6,35,D,1438
53,6,57,W,1092
54,6,59,L,853
55,6,45,D,1242
56,6,40,L,1348
57,6,53,L,1393
58,6,NA,B,NA
59,6,54,W,1270
60,6,NA,H,NA
61,6,30,L,1522
62,6,NA,U,NA
63,6,NA,H,NA
64,6,42,L,1332
1,7,4,D,1716
2,7,7,W,1649
3,7,12,W,1663
4,7,1,D,1794
5,7,17,W,1629
6,7,21,W,1563
7,7,2,L,1553
8,7,19,W,1564
9,7,20,W,1595
10,7,18,W,1600
11,7,26,W,1579
12,7,3,L,1384
13,7,32,W,1441
14,7,31,W,1494
15,7,38,W,1423
16,7,NA,U,NA
17,7,5,L,1655
18,7,10,L,1365
19,7,8,L,1641
20,7,9,L,1411
21,7,6,L,1686
22,7,40,W,1348
23,7,46,W,377
24,7,39,W,1436
25,7,47,W,1362
26,7,11,L,1712
27,7,NA,U,NA
28,7,36,D,1355
29,7,NA,U,NA
30,7,50,W,1056
31,7,14,L,1610
32,7,13,L,1666
33,7,51,W,1011
34,7,52,W,935
35,7,48,W,1382
36,7,28,D,1507
37,7,61,W,955
38,7,15,L,1220
39,7,24,L,1229
40,7,22,L,1555
41,7,NA,U,NA
42,7,56,W,1153
43,7,55,W,1186
