playerNum,USCF_ID,playerName,state,preRating,points,postRating,avgOppRating
1,15445895,GARY HUA,ON,1794,6,1817,1605
2,14598900,DAKSHESH DARURI,MI,1553,6,1663,1469
3,14959604,ADITYA BAJAJ,MI,1384,6,1640,1563
4,12616049,PATRICK H SCHILLING,MI,1716,5.5,1744,1573
5,14601533,HANSHI ZUO,MI,1655,5.5,1690,1500
6,15055204,HANSEN SONG,OH,1686,5,1687,1518
7,11146376,GARY DEE SWATHELL,MI,1649,5,1673,1372
8,15142253,EZEKIEL HOUGHTON,MI,1641,5,1657,1468
9,14954524,STEFANO LEE,ON,1411,5,1564,1523
10,14150362,ANVIT RAO,MI,1365,5,1544,1554
11,12581589,CAMERON WILLIAM MC LEMAN,MI,1712,4.5,1696,1467
12,12681257,KENNETH J TACK,MI,1663,4.5,1670,1506
13,15082995,TORRANCE HENRY JR,MI,1666,4.5,1662,1497
14,10131499,BRADLEY SHAW,MI,1610,4.5,1618,1515
15,15619130,ZACHARY JAMES HOUGHTON,MI,1220,4.5,1416,1483
16,10295068,MIKE NIKITIN,MI,1604,4,1613,1385
17,10297702,RONALD GRZEGORCZYK,MI,1629,4,1610,1498
18,11342094,DAVID SUNDEEN,MI,1600,4,1600,1480
19,14862333,DIPANKAR ROY,MI,1564,4,1570,1426
20,14529060,JASON ZHENG,MI,1595,4,1569,1410
21,15495066,DINH DANG BUI,ON,1563,4,1562,1470
22,12405534,EUGENE L MCCLURE,MI,1555,4,1529,1300
23,15030142,ALAN BUI,ON,1363,4,1371,1213
24,13469010,MICHAEL R ALDRICH,MI,1229,4,1300,1357
25,12486656,LOREN SCHWIEBERT,MI,1745,3.5,1681,1363
26,15131520,MAX ZHU,ON,1579,3.5,1564,1506
27,14476567,GAURAV GIDWANI,MI,1552,3.5,1539,1221
28,14882954,SOFIA ADINA STANESCU-BELLU,MI,1507,3.5,1513,1522
29,15323285,CHIEDOZIE OKORIE,MI,1602,3.5,1508,1313
30,12577178,GEORGE AVERY JONES,ON,1522,3.5,1444,1144
31,15131618,RISHI SHETTY,MI,1494,3.5,1444,1259
32,14073750,JOSHUA PHILIP MATHEWS,ON,1441,3.5,1433,1378
33,14691842,JADE GE,MI,1449,3.5,1421,1276
34,15051807,MICHAEL JEFFERY THOMAS,MI,1399,3.5,1400,1375
35,14601397,JOSHUA DAVID LEE,MI,1438,3.5,1392,1149
36,14773163,SIDDHARTH JHA,MI,1355,3.5,1367,1388
37,15489571,AMIYATOSH PWNANANDAM,MI,980,3.5,1077,1384
38,15108523,BRIAN LIU,MI,1423,3,1439,1539
39,12923035,JOEL R HENDON,MI,1436,3,1413,1429
40,14892710,FOREST ZHANG,MI,1348,3,1346,1390
41,15761443,KYLE WILLIAM MURPHY,MI,1403,3,1341,1248
42,14462326,JARED GE,MI,1332,3,1256,1149
43,14101068,ROBERT GLEN VASEY,MI,1283,3,1244,1106
44,15323504,JUSTIN D SCHILLING,MI,1199,3,1199,1327
45,15372807,DEREK YAN,MI,1242,3,1191,1152
46,15490981,JACOB ALEXANDER LAVALLEY,MI,377,3,1076,1357
47,12533115,ERIC WRIGHT,MI,1362,2.5,1341,1392
48,14369165,DANIEL KHAIN,MI,1382,2.5,1335,1355
49,12531685,MICHAEL J MARTIN,MI,1291,2.5,1259,1285
50,14773178,SHIVAM JHA,MI,1056,2.5,1111,1296
51,15205474,TEJAS AYYAGARI,MI,1011,2.5,1097,1356
52,14918803,ETHAN GUO,MI,935,2.5,1092,1494
53,12578849,JOSE C YBARRA,MI,1393,2,1359,1345
54,12836773,LARRY HODGE,MI,1270,2,1200,1206
55,15412571,ALEX KONG,MI,1186,2,1163,1406
56,14679887,MARISA RICCI,MI,1153,2,1140,1414
57,15113330,MICHAEL LU,MI,1092,2,1079,1363
58,14700365,VIRAJ MOHILE,MI,917,2,941,1391
59,12841036,SEAN M MC CORMICK,MI,853,2,878,1319
60,14579262,JULIA SHEN,MI,967,1.5,984,1330
61,15771592,JEZZEL FARKAS,ON,955,1.5,979,1327
62,15219542,ASHWIN BALAJI,MI,1530,1,1535,1186
63,15057092,THOMAS JOSEPH HOSMER,MI,1175,1,1125,1350
64,15006561,BEN LI,MI,1163,1,1112,1263
